,Sentences,Date_1,Words,Date_2,Numbers,Date_3
130,-- SIBBALD ' S FIFE AND KINROSS .,18 feb 1982,muff,7/1/06,7330,thursday august 4 2016
131,""" Myself have agreed to try whether I can master and kill this Sperma - ceti whale , for I could never hear of any of that sort that was killed by any man , such is his fierceness and swiftness .""",tuesday october 16 2001,willing,21.09.12,2316,sunday december 19 2004
132,-- RICHARD STRAFFORD ' S LETTER FROM THE BERMUDAS .,sunday december 28 1986,bestow,7 june 2009,-8194,15 may 2019
133,PHIL .,11 may 2007,sofa,4 april 1982,-5017,13 october 1982
134,TRANS .,sunday july 15 2007,affording,sunday february 16 2014,-7049,1 september 2010
135,A . D . 1668 .,15 may 2017,sight,wednesday november 19 1975,-7602,22 01 71
136,""" Whales in the sea God ' s voice obey .""",monday january 24 2000,controlled,12 jul 1995,6468,tuesday september 3 1991
137,-- N . E . PRIMER .,15.04.01,prettily,03.10.89,-9648,4 jan 1973
138,""" We saw also abundance of large whales , there being more in those southern seas , as I may say , by a hundred to one ; than we have to the northward of us .""",14 november 2008,sanguine,wednesday december 27 1978,-5910,thursday october 2 1986
139,"-- CAPTAIN COWLEY ' S VOYAGE ROUND THE GLOBE , A . D . 1729 .",january 18 2006,dismissed,9 april 2018,3967,sunday march 7 1999
140,"""... and the breath of the whale is frequendy attended with such an insupportable smell , as to bring on a disorder of the brain .""",wednesday may 19 1982,surviving,27 08 83,1522,sunday october 11 1998
141,-- ULLOA ' S SOUTH AMERICA .,april 30 1988,clerk,january 2 1997,4953,15 august 1991
142,""" To fifty chosen sylphs of special note , We trust the important charge , the petticoat .",10/13/03,prescribed,13 march 1993,-4822,saturday may 28 2016
143,"Oft have we known that seven - fold fence to fail , Tho ' stuffed with hoops and armed with ribs of whale .""",feb 15 1997,storm,wednesday august 1 2018,3186,5 may 1975
144,-- RAPE OF THE LOCK .,saturday january 13 2018,inadvertence,30 nov 1993,-2535,29 jun 1985
145,""" If we compare land animals in respect to magnitude , with those that take up their abode in the deep , we shall find they will appear contemptible in the comparison .",21 december 1995,supposing,24.07.91,-9121,tuesday january 24 2006
146,"The whale is doubtless the largest animal in creation .""",wednesday november 28 1990,joint,9/15/04,2749,november 15 1977
147,"-- GOLDSMITH , NAT .",tuesday june 29 1999,orator,11 april 1983,-5176,10 august 2003
148,HIST .,27 04 87,hardening,07.01.00,381,friday april 18 1980
149,""" If you should write a fable for little fishes , you would make them speak like great wales .""",friday august 9 1974,assented,17 jun 2013,426,february 15 1980
150,-- GOLDSMITH TO JOHNSON .,monday january 28 2019,earthly,october 15 2009,7187,thursday june 25 1992
151,""" In the afternoon we saw what was supposed to be a rock , but it was found to be a dead whale , which some Asiatics had killed , and were then towing ashore .",monday august 18 2003,kindly,november 25 1984,-6853,july 24 1978
152,"They seemed to endeavor to conceal themselves behind the whale , in order to avoid being seen by us .""",20 sep 2005,abhor,17 may 1980,-2102,thursday july 11 2019
153,-- COOK ' S VOYAGES .,2/23/70,repine,3/23/14,40,22 07 82
154,""" The larger whales , they seldom venture to attack .",tuesday july 7 1987,worthy,19 02 71,3955,august 31 2017
155,"They stand in so great dread of some of them , that when out at sea they are afraid to mention even their names , and carry dung , lime - stone , juniper - wood , and some other articles of the same nature in their boats , in order to terrify and prevent their too near approach .""",thursday april 5 2018,provocation,13 jul 1984,-4955,july 6 1994
156,-- UNO VON TROIL ' S LETTERS ON BANKS ' S AND SOLANDER ' S VOYAGE TO ICELAND IN 1772 .,wednesday may 24 2006,per,monday november 19 2007,4248,sunday january 28 1973
157,""" The Spermacetti Whale found by the Nantuckois , is an active , fierce animal , and requires vast address and boldness in the fishermen .""",tuesday august 5 2003,Edward,thursday april 24 1997,7843,14 november 1972
158,-- THOMAS JEFFERSON ' S WHALE MEMORIAL TO THE FRENCH MINISTER IN 1778 .,20 02 97,considerations,thursday november 14 1985,-7806,october 9 1986
159,""" And pray , sir , what in the world is equal to it ?""",thursday july 28 1977,patience,march 9 1982,8881,tuesday august 14 1979
160,-- EDMUND BURKE ' S REFERENCE IN PARLIAMENT TO THE NANTUCKET WHALE - FISHERY .,wednesday february 19 2003,Parrys,aug 26 1994,6758,tuesday october 13 1992
161,""" Spain -- a great whale stranded on the shores of Europe .""",thursday april 24 1997,instead,16 april 1985,-1826,9 sep 1976
162,-- EDMUND BURKE .,13 september 2000,sisters,03 jul 2014,438,17 july 2020
163,( SOMEWHERE .),wednesday january 20 2016,tribute,friday december 16 1988,1838,saturday april 7 2001
164,""" A tenth branch of the king ' s ordinary revenue , said to be grounded on the consideration of his guarding and protecting the seas from pirates and robbers , is the right to royal fish , which are whale and sturgeon .",9/1/81,lives,26 05 05,6382,18 may 1976
165,"And these , when either thrown ashore or caught near the coast , are the property of the king .""",29 may 2008,motionless,july 29 2016,5477,saturday may 30 1998
166,-- BLACKSTONE .,25 12 91,awaken,apr 19 1993,-2225,20.01.70
167,""" Soon to the sport of death the crews repair : Rodmond unerring o ' er his head suspends The barbed steel , and every turn attends .""",18 mar 2018,leaving,sunday october 26 2008,-1257,june 12 2009
168,-- FALCONER ' S SHIPWRECK .,jan 29 1986,atonement,tuesday july 15 1997,7303,august 7 1976
169,""" Bright shone the roofs , the domes , the spires , And rockets blew self driven , To hang their momentary fire Around the vault of heaven .",sunday march 27 1983,paces,16 jun 1985,-3515,20 august 1971
170,""" So fire with water to compare , The ocean serves on high , Up - spouted by a whale in air , To express unwieldy joy .""",friday may 25 2018,abandoned,29 june 1992,8338,dec 8 1982
171,"-- COWPER , ON THE QUEEN ' S VISIT TO LONDON .",sunday july 31 2011,strive,jan 8 1976,848,apr 13 1980
172,""" Ten or fifteen gallons of blood are thrown out of the heart at a stroke , with immense velocity .""",12 feb 2006,letters,saturday march 29 1975,6486,friday february 1 2002
173,-- JOHN HUNTER ' S ACCOUNT OF THE DISSECTION OF A WHALE .,wednesday february 13 2002,Let,wednesday march 25 1987,9293,6/17/92
174,( A SMALL SIZED ONE .),wednesday may 19 1971,embellishments,wednesday february 6 1974,7108,wednesday december 20 1995
175,""" The aorta of a whale is larger in the bore than the main pipe of the water - works at London Bridge , and the water roaring in its passage through that pipe is inferior in impetus and velocity to the blood gushing from the whale ' s heart .""",september 2 2011,swell,october 19 1982,1055,tuesday september 20 1994
176,-- PALEY ' S THEOLOGY .,august 16 2009,dearest,31 may 1975,7278,10 nov 1992
177,""" The whale is a mammiferous animal without hind feet .""",saturday november 6 1999,temperate,sunday august 14 2011,-208,sunday july 25 1976
178,-- BARON CUVIER .,saturday july 14 2018,probable,23 01 09,-6529,20 jul 2014
179,""" In 40 degrees south , we saw Spermacetti Whales , but did not take any till the first of May , the sea being then covered with them .""",sunday may 3 1970,plantations,4 november 2011,-9637,january 28 2004
180,-- COLNETT ' S VOYAGE FOR THE PURPOSE OF EXTENDING THE SPERMACETI WHALE FISHERY .,saturday september 5 2009,wealth,wednesday july 31 2002,-2770,sunday july 14 2019
181,""" In the free element beneath me swam , Floundered and dived , in play , in chace , in battle , Fishes of every colour , form , and kind ; Which language cannot paint , and mariner Had never seen ; from dread Leviathan To insect millions peopling every wave : Gather ' d in shoals immense , like floating islands , Led by mysterious instincts through that waste And trackless region , though on every side Assaulted by voracious enemies , Whales , sharks , and monsters , arm ' d in front or jaw , With swords , saws , spiral horns , or hooked fangs .""",may 26 1990,opportunities,12 february 1995,6624,23 february 1973
182,-- MONTGOMERY ' S WORLD BEFORE THE FLOOD .,saturday december 24 1977,upstairs,thursday november 16 1989,341,7 06 88
183,""" Io !",friday december 10 1976,vanity,july 5 1995,9807,friday august 14 1987
184,Paean !,27 may 1971,pause,monday june 11 1984,6322,friday february 2 1979
185,Io !,friday february 17 2006,bliss,10/18/15,-5914,16 oct 1980
186,sing .,1 03 92,worn,16 december 1990,-6269,wednesday january 19 2000
187,To the finny people ' s king .,thursday december 28 2006,petty,23 05 90,9286,26 december 1999
188,"Not a mightier whale than this In the vast Atlantic is ; Not a fatter fish than he , Flounders round the Polar Sea .""",5 january 2020,drawings,tuesday september 8 1987,3152,5/3/92
189,-- CHARLES LAMB ' S TRIUMPH OF THE WHALE .,10 04 16,prosperous,19.10.81,-6646,january 30 1996
190,""" In the year 1690 some persons were on a high hill observing the whales spouting and sporting with each other , when one observed : there -- pointing to the sea -- is a green pasture where our children ' s grand - children will go for bread .""",monday may 25 1981,totally,18 may 2002,-3906,thursday august 3 2017
191,-- OBED MACY ' S HISTORY OF NANTUCKET .,17 nov 1993,directly,21 jan 2020,4732,6 may 2009
192,""" I built a cottage for Susan and myself and made a gateway in the form of a Gothic Arch , by setting up a whale ' s jaw bones .""",wednesday february 10 1971,library,sunday july 20 1975,5882,saturday december 5 1987
193,-- HAWTHORNE ' S TWICE TOLD TALES .,thursday february 12 1970,listener,21 feb 2001,-2560,saturday august 2 1986
194,""" She came to bespeak a monument for her first love , who had been killed by a whale in the Pacific ocean , no less than forty years ago .""",26 may 2006,anything,tuesday april 26 2011,-9541,monday june 9 2014
195,-- IBID .,sunday october 5 1980,candour,saturday may 24 2008,1483,saturday march 21 1987
196,""" No , Sir , ' tis a Right Whale ,"" answered Tom ; "" I saw his sprout ; he threw up a pair of as pretty rainbows as a Christian would wish to look at .",september 20 1999,MONTH,15 october 2009,-1532,saturday december 16 2017
197,"He ' s a raal oil - butt , that fellow !""",18 january 1980,foot,29 jan 1984,2756,saturday march 18 1995
198,-- COOPER ' S PILOT .,october 4 1979,moreover,monday april 7 1980,-3056,14 november 2005
199,""" The papers were brought in , and we saw in the Berlin Gazette that whales had been introduced on the stage there .""",sunday april 7 2013,blameable,3 march 1982,-7952,28.06.11
200,-- ECKERMANN ' S CONVERSATIONS WITH GOETHE .,wednesday july 27 2016,encourage,friday march 4 2016,-3888,22 may 1994
201,""" My God !",14 nov 1978,Gentleman,08 dec 1972,-9106,tuesday september 24 2019
202,"Mr . Chace , what is the matter ?""",07 dec 1970,artful,wednesday march 1 2006,1594,jul 13 2008
203,"I answered , "" we have been stove by a whale .""",tuesday june 10 1980,scrape,05.09.12,-6841,january 20 2014
204,"--"" NARRATIVE OF THE SHIPWRECK OF THE WHALE SHIP ESSEX OF NANTUCKET , WHICH WAS ATTACKED AND FINALLY DESTROYED BY A LARGE SPERM WHALE IN THE PACIFIC OCEAN .""",saturday august 7 1982,weary,7/1/07,-4330,25 april 2018
205,"BY OWEN CHACE OF NANTUCKET , FIRST MATE OF SAID VESSEL .",monday october 6 2003,concealing,8 november 1980,-4378,4/14/99
206,"NEW YORK , 1821 .",15 jun 1978,ashamed,april 26 1976,7945,05 feb 2010
207,""" A mariner sat in the shrouds one night , The wind was piping free ; Now bright , now dimmed , was the moonlight pale , And the phospher gleamed in the wake of the whale , As it floundered in the sea .""",15 dec 1984,weddings,apr 19 2017,5330,12 feb 1998
208,-- ELIZABETH OAKES SMITH .,thursday june 12 1975,kitchen,thursday march 18 1971,-5585,friday october 21 2005
209,""" The quantity of line withdrawn from the boats engaged in the capture of this one whale , amounted altogether to 10 , 440 yards or nearly six English miles .",27 feb 2015,centered,tuesday september 28 1982,-5094,28 05 74
210,...,friday april 6 1990,vile,wednesday january 21 1976,-8048,monday may 24 1982
